image,image_name,MAP,UQ[VR],UQ[IE],UQ[MI],UQ[TR],UQ[PS],MAP[50],MAP[75],MAP[Small],MAP[Medium],MAP[Large],MAR[1],MAR[5],MAR[100],MAR[Small],MAR[Medium],MAR[Large]
60,dataset/origimg/org/image_top543.jpg,0.21673671901226044,0.0,0.53430375,0.08860345083603532,611832.0795381961,14099.788807354771,0.21673671901226044,-1.0,-1.0,0.005940594244748354,0.41774052381515503,0.20000000298023224,0.5249999761581421,0.5249999761581421,-1.0,0.05000000074505806,1.0
61,dataset/origimg/org/image_top47.jpg,0.2370663732290268,0.0,0.29963375000000003,0.056494323777761396,215288.8471910476,5111.415180502419,0.2370663732290268,-1.0,-1.0,0.35241198539733887,0.1869349479675293,0.03999999910593033,0.2849999964237213,0.3799999952316284,-1.0,0.36666667461395264,0.4000000059604645
62,dataset/origimg/org/image_top56.jpg,0.280033141374588,0.0,0.396475,0.084796544778095,190348.98139387034,5053.927077309335,0.280033141374588,-1.0,-1.0,0.5327407717704773,0.19628559052944183,0.07000000029802322,0.4399999976158142,0.5099999904632568,-1.0,0.5666666626930237,0.42500001192092896
63,dataset/origimg/org/image_open54.jpg,0.26593661308288574,0.0,0.527790625,0.04647332586111599,503117.30303997634,6281.892846126037,0.26593661308288574,-1.0,-1.0,0.3765999674797058,0.44702503085136414,0.05833333358168602,0.375,0.5666666626930237,-1.0,0.47999998927116394,1.0
64,dataset/origimg/org/image_top453.jpg,0.30585479736328125,0.0,0.35786999999999997,0.0844850221338703,462828.51126568054,7885.374704296553,0.30585479736328125,-1.0,-1.0,0.3522971272468567,0.5181518197059631,0.125,0.5,0.5375000238418579,-1.0,0.38333332538604736,1.0
65,dataset/origimg/org/image_top427.jpg,0.29737722873687744,0.0,0.33686687499999995,0.0674901754097644,399626.6263487431,6727.607146814257,0.29737722873687744,-1.0,-1.0,0.4586332440376282,0.3879587948322296,0.05000000074505806,0.574999988079071,0.612500011920929,-1.0,0.4833333194255829,1.0
66,dataset/origimg/org/image_top114.jpg,0.0,0.0,0.358118,0.10221185057357338,593846.8127198576,12181.437012896336,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
67,dataset/origimg/org/image_open48.jpg,0.21174058318138123,0.0,0.27893222222222225,0.056658183634775976,522837.8292124883,11461.436106300953,0.21174058318138123,-1.0,-1.0,0.30037128925323486,0.40901678800582886,0.05000000074505806,0.3583333194255829,0.4166666567325592,-1.0,0.30000001192092896,1.0
68,dataset/origimg/org/image_top102.jpg,0.5926366448402405,0.0,0.3120754545454546,0.052687436643244996,657791.4942071568,9106.953588946075,0.5926366448402405,-1.0,-1.0,1.0,0.4719720184803009,0.30000001192092896,0.6666666865348816,0.6666666865348816,-1.0,1.0,0.5
69,dataset/origimg/org/image_top587.jpg,0.22154708206653595,0.0,0.35150000000000003,0.07742167262660858,282143.7326520351,6718.229825096372,0.22154708206653595,-1.0,-1.0,0.15841583907604218,0.40132012963294983,0.17499999701976776,0.550000011920929,0.550000011920929,-1.0,0.15000000596046448,0.949999988079071
70,dataset/origimg/org/image_top447.jpg,0.6187723278999329,0.0,0.2821657894736842,0.030019391376958075,225795.98373577872,5676.066364137404,0.6187723278999329,-1.0,-1.0,0.6106875538825989,0.5926879644393921,0.12857143580913544,0.5214285850524902,0.7928571701049805,-1.0,0.6333333253860474,0.9125000238418579
