image,image_name,MAP,UQ[VR],UQ[IE],UQ[MI],UQ[TR],UQ[PS],MAP[50],MAP[75],MAP[Small],MAP[Medium],MAP[Large],MAR[1],MAR[5],MAR[100],MAR[Small],MAR[Medium],MAR[Large]
64,dataset/origimg/org/image_top453.jpg,0.5049505233764648,0.0,0.01225,1.694942331546996e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.3366336524486542,1.0,0.25,0.5,0.5,-1.0,0.3333333432674408,1.0
65,dataset/origimg/org/image_top427.jpg,0.7524752616882324,0.0,0.05564333333333334,-1.1587304772874008e-06,0.0,-1.0,0.7524752616882324,-1.0,-1.0,0.6633663177490234,1.0,0.25,0.75,0.75,-1.0,0.6666666865348816,1.0
67,dataset/origimg/org/image_open48.jpg,0.5049505233764648,0.0,0.2839766666666667,5.343559164247558e-07,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.40594059228897095,1.0,0.1666666716337204,0.5,0.5,-1.0,0.4000000059604645,1.0
68,dataset/origimg/org/image_top102.jpg,0.6633663177490234,0.0,0.002335,3.145736557690407e-06,0.0,-1.0,0.6633663177490234,-1.0,-1.0,1.0,0.5049505233764648,0.3333333432674408,0.6666666865348816,0.6666666865348816,-1.0,1.0,0.5
69,dataset/origimg/org/image_top587.jpg,0.5049505233764648,0.0,0.04494,-2.500250528621184e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.0,1.0,0.5,0.5,0.5,-1.0,0.0,1.0
70,dataset/origimg/org/image_top447.jpg,0.8514851331710815,0.0,0.21295833333333333,2.3380415209127065e-06,0.0,-1.0,0.8514851331710815,-1.0,-1.0,0.6633663177490234,1.0,0.1428571492433548,0.7142857313156128,0.8571428656578064,-1.0,0.6666666865348816,1.0
71,dataset/origimg/org/image_top411.jpg,0.594059407711029,0.0,0.005846666666666667,1.7436109991987862e-06,0.0,-1.0,0.594059407711029,-1.0,-1.0,0.0,1.0,0.20000000298023224,0.6000000238418579,0.6000000238418579,-1.0,0.0,1.0
72,dataset/origimg/org/image_top51.jpg,0.7029703259468079,0.0,0.3520914285714286,-1.5646676102037564e-07,0.0,-1.0,0.7029703259468079,-1.0,-1.0,0.8316831588745117,0.5049505233764648,0.10000000149011612,0.5,0.699999988079071,-1.0,0.8333333134651184,0.5
73,dataset/origimg/org/image_top568.jpg,0.3366336524486542,0.0,0.00109,-3.7061071408495995e-07,0.0,-1.0,0.3366336524486542,-1.0,-1.0,0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,-1.0,0.0,1.0
74,dataset/origimg/org/image_top30.jpg,1.0,0.0,0.029939999999999998,-3.9258602891133375e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.5,1.0,1.0,-1.0,1.0,1.0
75,dataset/origimg/org/image_top46.jpg,0.5049505233764648,0.0,0.25926666666666665,-1.0290069760270082e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.6633663177490234,0.3366336524486542,0.1666666716337204,0.5,0.5,-1.0,0.6666666865348816,0.3333333432674408
76,dataset/origimg/org/image_top184.jpg,1.0,0.0,0.02424,-1.2515812439460594e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
77,dataset/origimg/org/image_top88.jpg,0.6633663177490234,0.0,0.02398,2.7185776539304096e-06,0.0,-1.0,0.6633663177490234,-1.0,-1.0,0.6633663177490234,-1.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,-1.0,0.6666666865348816,-1.0
78,dataset/origimg/org/image_top255.jpg,0.6633663177490234,0.0,0.00511,-1.037187438388097e-07,0.0,-1.0,0.6633663177490234,-1.0,-1.0,0.5049505233764648,1.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,-1.0,0.5,1.0
79,dataset/origimg/org/image_top50.jpg,0.3366336524486542,0.0,0.04533,2.050619107317464e-06,0.0,-1.0,0.3366336524486542,-1.0,-1.0,0.3366336524486542,-1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,-1.0,0.3333333432674408,-1.0
80,dataset/origimg/org/image_top432.jpg,0.7128713130950928,0.0,0.502512,4.77651588679049e-07,0.0,-1.0,0.7128713130950928,-1.0,-1.0,0.594059407711029,1.0,0.1428571492433548,0.7142857313156128,0.7142857313156128,-1.0,0.6000000238418579,1.0
81,dataset/origimg/org/image_top382.jpg,1.0,0.0,0.016640000000000002,3.4257156715569265e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,1.0
82,dataset/origimg/org/image_top23.jpg,1.0,0.0,0.05541,-9.629141059785962e-07,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
83,dataset/origimg/org/image_top365.jpg,1.0,0.0,0.0196775,-1.0074117141564258e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.25,1.0,1.0,-1.0,1.0,1.0
84,dataset/origimg/org/image_top326.jpg,0.6633663177490234,0.0,0.281395,-4.292315320245099e-06,0.0,-1.0,0.6633663177490234,-1.0,-1.0,0.5049505233764648,1.0,0.3333333432674408,0.6666666865348816,0.6666666865348816,-1.0,0.5,1.0
85,dataset/origimg/org/image_top448.jpg,1.0,0.0,0.24558400000000002,1.0827312715833843e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.20000000298023224,1.0,1.0,-1.0,1.0,1.0
86,dataset/origimg/org/image_open46.jpg,0.5049505233764648,0.0,0.15086,-2.5163376800863e-06,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.5049505233764648,-1.0,0.5,0.5,0.5,-1.0,0.5,-1.0
87,dataset/origimg/org/image_top458.jpg,0.7524752616882324,0.0,0.10764666666666667,-3.473846259619458e-07,0.0,-1.0,0.7524752616882324,-1.0,-1.0,0.5049505233764648,1.0,0.25,0.75,0.75,-1.0,0.5,1.0
88,dataset/origimg/org/image_top482.jpg,0.7920792102813721,0.0,0.2745725,1.510926367179454e-06,0.0,-1.0,0.7920792102813721,-1.0,-1.0,0.7524752616882324,1.0,0.20000000298023224,0.800000011920929,0.800000011920929,-1.0,0.75,1.0
89,dataset/origimg/org/image_top200.jpg,1.0,0.0,0.057418000000000004,-1.2977967835947624e-06,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.20000000298023224,1.0,1.0,-1.0,1.0,1.0
90,dataset/origimg/org/image_top484.jpg,1.0,0.0,0.012234,7.644387224014366e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.20000000298023224,1.0,1.0,-1.0,1.0,1.0
91,dataset/origimg/org/image_top14.jpg,1.0,0.0,0.06023,-2.3578498600656722e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,1.0
92,dataset/origimg/org/image_open53.jpg,0.5049505233764648,0.0,0.4065725,9.661700859295297e-07,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.40594059228897095,1.0,0.1666666716337204,0.5,0.5,-1.0,0.4000000059604645,1.0
93,dataset/origimg/org/image_top187.jpg,0.5049505233764648,0.0,0.02925,5.607053510311988e-07,0.0,-1.0,0.5049505233764648,-1.0,-1.0,0.5049505233764648,-1.0,0.5,0.5,0.5,-1.0,0.5,-1.0
94,dataset/origimg/org/image_top309.jpg,1.0,0.0,0.037794999999999995,4.913846715151604e-07,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.5,1.0,1.0,-1.0,-1.0,1.0
95,dataset/origimg/org/image_top467.jpg,1.0,0.0,0.25754666666666665,8.464387696118826e-07,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.3333333432674408,1.0,1.0,-1.0,1.0,1.0
96,dataset/origimg/org/image_top48.jpg,0.594059407711029,0.0,0.1895083333333333,-2.321171787460566e-06,0.0,-1.0,0.594059407711029,-1.0,-1.0,0.5049505233764648,0.75,0.0,0.5714285969734192,0.7142857313156128,-1.0,0.5,1.0
97,dataset/origimg/org/image_top110.jpg,1.0,0.0,0.00546,2.19911263661058e-06,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0
